11-Mar-2007,1.3,1.3,1.3,1.32,
12-Mar-2007,1.33,1.33,1.34,1.34,
13-Mar-2007,1.33,1.33,1.36,1.36,
14-Mar-2007,1.3,1.28,1.26,1.24,
15-Mar-2007,1.12,1.12,1.1,1.1,
16-Mar-2007,1.07,1.07,1.05,1.05,
17-Mar-2007,1.09,1.09,1.09,1.09,
18-Mar-2007,1.09,1.08,1.08,1.07,
19-Mar-2007,1.12,1.12,1.13,1.13,
20-Mar-2007,1.17,1.17,1.18,1.19,
21-Mar-2007,1.2,1.2,1.22,1.25,
22-Mar-2007,1.2,1.2,1.2,1.2,
23-Mar-2007,1.17,1.17,1.17,1.17,
24-Mar-2007,1.17,1.17,1.16,1.15,
25-Mar-2007,1.2,1.22,1.22,1.22,
26-Mar-2007,1.17,1.17,1.18,1.19,
27-Mar-2007,1.12,1.12,1.1,1.1,
28-Mar-2007,1.07,1.07,1.05,1.05,
29-Mar-2007,1,1,1.02,1.04,
30-Mar-2007,1,1.04,1.09,1.04,
31-Mar-2007,1,1,1,1,
01-Abr-2007,.98,.98,.98,.98,
02-Abr-2007,1.01,1.01,1.06,1.06,
03-Abr-2007,.93,.93,.93,.93,
04-Abr-2007,.9,.91,.92,.94,
05-Abr-2007,.95,.94,.94,.94,
06-Abr-2007,.91,.91,.93,.93,
07-Abr-2007,.85,.85,.86,.86,
08-Abr-2007,1.03,1.03,1.02,1.01,
09-Abr-2007,1,1,1,.99,
10-Abr-2007,.95,.95,.93,.93,
11-Abr-2007,.87,.85,.83,.83,
12-Abr-2007,.9,.9,.9,.9,
13-Abr-2007,.92,.92,.92,.91,
14-Abr-2007,.94,.94,.93,.93,
15-Abr-2007,1.07,1.07,1.08,1.09,
16-Abr-2007,1.03,1.03,1.03,1.03,
17-Abr-2007,1.01,1.01,1.01,1.02,
18-Abr-2007,.99,.99,.98,.98,
19-Abr-2007,.99,.99,.98,.98,
20-Abr-2007,1.02,1.02,1.01,1.01,
21-Abr-2007,.99,.98,.98,.98,
22-Abr-2007,.95,.93,.93,.93,
23-Abr-2007,.84,.85,.85,.86,
24-Abr-2007,.85,.85,.84,.84,
25-Abr-2007,.85,.85,.85,.84,
26-Abr-2007,.83,.83,.83,.83,
27-Abr-2007,.9,.91,.91,.91,
28-Abr-2007,.91,.91,.9,.9,
29-Abr-2007,.84,.84,.84,.83,
30-Abr-2007,.85,.85,.85,.84,
01-May-2007,.83,.83,.83,.83,
02-May-2007,.83,.83,.84,.84,
03-May-2007,.84,.85,.85,.83,
04-May-2007,.83,.83,.83,.83,
05-May-2007,.82,.82,.82,.81,
06-May-2007,.8,.8,.8,.8,
07-May-2007,.83,.83,.83,.83,
08-May-2007,.83,.83,.82,.82,
09-May-2007,.8,.8,.8,.8,
10-May-2007,.79,.79,.79,.79,
11-May-2007,.79,.79,.79,.79,
12-May-2007,.8,.83,.83,.82,
13-May-2007,.79,.79,.79,.78,
14-May-2007,.78,.78,.78,.78,
15-May-2007,.77,.77,.76,.76,
16-May-2007,.75,.75,.75,.75,
17-May-2007,.74,.74,.74,.73,
18-May-2007,.83,.86,.88,.9,
19-May-2007,.79,.77,.76,.74,
20-May-2007,.75,.76,.78,.78,
21-May-2007,.74,.74,.74,.74,
22-May-2007,.73,.73,.72,.72,
23-May-2007,.9,.96,.98,.98,
24-May-2007,.78,.78,.78,.78,
25-May-2007,.73,.73,.72,.72,
26-May-2007,.72,.72,.72,.72,
27-May-2007,.72,.72,.73,.74,
28-May-2007,.9,.9,.93,.93,
29-May-2007,.96,.96,.97,.96,
30-May-2007,.7,.7,.7,.7,
31-May-2007,.7,.7,.7,.7,
01-Jun-2007,.68,.68,.68,.68,
02-Jun-2007,.68,.68,.68,.68,
03-Jun-2007,.68,.68,.68,.67,
04-Jun-2007,.67,.67,.67,.67,
05-Jun-2007,.67,.67,.67,.67,
06-Jun-2007,.66,.66,.66,.66,
07-Jun-2007,.66,.66,.66,.66,
08-Jun-2007,.66,.66,.66,.66,
09-Jun-2007,.66,.65,.65,.65,
10-Jun-2007,.65,.65,.65,.64,
11-Jun-2007,.64,.64,.64,.63,
12-Jun-2007,.63,.63,.63,.63,
13-Jun-2007,.63,.63,.63,.63,
14-Jun-2007,.63,.62,.62,.62,
15-Jun-2007,.7,.7,.69,.69,
16-Jun-2007,.68,.68,.68,.68,
17-Jun-2007,.6,.6,.6,.6,
18-Jun-2007,.6,.6,.6,.6,
19-Jun-2007,.6,.6,.6,.6,
20-Jun-2007,.6,.6,.6,.6,
21-Jun-2007,.6,.6,.6,.6,
22-Jun-2007,.6,.6,.6,.6,
23-Jun-2007,.78,.78,.77,.76,
24-Jun-2007,.67,.67,.66,.64,
25-Jun-2007,.62,.62,.61,.6,
26-Jun-2007,.6,.6,.6,.6,
27-Jun-2007,.6,.59,.59,.59,
28-Jun-2007,.59,.59,.59,.59,
29-Jun-2007,.59,.59,.59,.59,
30-Jun-2007,.59,.59,.59,.59,
01-Jul-2007,.59,.59,.59,.59,
02-Jul-2007,.59,.59,.59,.59,
03-Jul-2007,.6,.6,.61,.61,
04-Jul-2007,.59,.59,.59,.59,
05-Jul-2007,.59,.59,.59,.59,
06-Jul-2007,.59,.59,.59,.59,
07-Jul-2007,.59,.59,.59,.6,
08-Jul-2007,.62,.64,.64,.64,
09-Jul-2007,.6,.6,.6,.6,
10-Jul-2007,.59,.59,.59,.59,
11-Jul-2007,.59,.59,.58,.58,
12-Jul-2007,.58,.58,.58,.58,
13-Jul-2007,.66,.64,.6,.59,
14-Jul-2007,.59,.58,.58,.58,
15-Jul-2007,.58,.58,.58,.58,
16-Jul-2007,.58,.58,.58,.58,
17-Jul-2007,.58,.58,.58,.58,
18-Jul-2007,.58,.58,.58,.58,
19-Jul-2007,.58,.58,.58,.58,
20-Jul-2007,.58,.58,.58,.58,
21-Jul-2007,.58,.58,.57,.57,
22-Jul-2007,.57,.57,.57,.57,
23-Jul-2007,.57,.57,.57,.57,
24-Jul-2007,.57,.57,.57,.57,
25-Jul-2007,.57,.57,.57,.57,
26-Jul-2007,.56,.56,.56,.56,
27-Jul-2007,.56,.56,.56,.56,
28-Jul-2007,.55,.55,.55,.55,
29-Jul-2007,.55,.55,.55,.55,
30-Jul-2007,.55,.55,.55,.55,
31-Jul-2007,.55,.55,.55,.55,
01-Ago-2007,.55,.55,.55,.55,
02-Ago-2007,.55,.55,.55,.55,
03-Ago-2007,.55,.55,.55,.55,
04-Ago-2007,.55,.55,.55,.55,
05-Ago-2007,.57,.57,.57,.56,
06-Ago-2007,.55,.55,.55,.55,
07-Ago-2007,.55,.55,.55,.56,
08-Ago-2007,.57,.57,.57,.56,
09-Ago-2007,.55,.55,.55,.55,
10-Ago-2007,.55,.54,.54,.54,
11-Ago-2007,.54,.54,.54,.54,
12-Ago-2007,.54,.54,.54,.54,
13-Ago-2007,.56,.56,.55,.55,
14-Ago-2007,.54,.54,.54,.54,
15-Ago-2007,.54,.54,.54,.54,
