Día/mes/año,TemperaturaMax (°c),TemperaturaMin (°c),Temperatura BulboSeco (°c),Temperatura BulboHumedo (°c),Precipitacion (mm),DirecciondelViento 13h,VelocidaddelViento 13h (m/s)
07,13,19,07,13,19,07,19
20-Jul-1972,34,19,19,33,29,,,,,,N,1
21-Jul-1972,34,18,18,34,29,,,,,,N,3
22-Jul-1972,34,17,18,26,23,,,,,,N,4
23-Jul-1972,27,16,16,26,23,,,,,,N,3
24-Jul-1972,33,15,15,31,27,,,,,,N,3
25-Jul-1972,32,18,18,30,27,,,,,,N,2
26-Jul-1972,33,16,16,32,30,,,,,,N,3
27-Jul-1972,34,17,17,31,32,,,,,,N,3
28-Jul-1972,35,18,18,33,32,,,,,,N,2
29-Jul-1972,36,21,26,31,29,,,,,,N,2
30-Jul-1972,32,17,18,29,26,,,,,,N,3
31-Jul-1972,32,21,22,31,29,,,,,,N,5
Día/mes/año,TemperaturaMax (°c),TemperaturaMin (°c),Temperatura BulboSeco (°c),Temperatura BulboHumedo (°c),Precipitacion (mm),DirecciondelViento 13h,VelocidaddelViento 13h (m/s)
07,13,19,07,13,19,07,19
01-Ago-1972,34,22,24,34,28,,,,,,N,3
02-Ago-1972,33,21,23,33,28,,,,,,N,4
03-Ago-1972,36,21,23,36,31,,,,,,N,3
04-Ago-1972,31,15,22,31,16,,,,,,N,3
05-Ago-1972,18,12,12,16,16,,,,,,N,4
06-Ago-1972,28,13,13,24,26,,,,,,N,2
07-Ago-1972,32,16,16,28,30,,,,,,N,3
08-Ago-1972,34,16,16,32,29,,,,,,S,3
09-Ago-1972,35,18,18,33,31,,,,,,N,3
10-Ago-1972,35,18,18,33,31,,,,,,N,4
11-Ago-1972,35,19,19,33,32,,,,,,N,3
12-Ago-1972,35,20,21,34,33,,,,,,N,1
13-Ago-1972,36,20,20,33,35,,,,,,N,3
14-Ago-1972,36,20,20,33,30,,,,,,S,1
15-Ago-1972,36,22,22,34,31,,,,,,N,5
16-Ago-1972,36,21,21,35,30,,,,,,N,3
17-Ago-1972,35,20,21,34,26,,,,,,N,4
18-Ago-1972,28,22,22,27,26,,,,,,N,1
19-Ago-1972,30,21,21,30,24,,,,,,N,3
20-Ago-1972,32,20,20,28,29,,,,,,N,1
21-Ago-1972,34,23,23,33,29,,,,,,N,2
22-Ago-1972,35,23,23,34,29,,,,,,N,1
23-Ago-1972,34,23,24,30,29,,,,,,N,3
24-Ago-1972,35,21,22,35,26,,,,,,N,3
25-Ago-1972,36,21,21,34,31,,,,,,N,1
26-Ago-1972,35,21,21,34,32,,,,,,N,3
27-Ago-1972,34,23,23,33,28,,,,,,N,5
28-Ago-1972,34,22,22,33,24,,,,,,S,3
29-Ago-1972,28,19,19,25,25,,,,,,S,5
30-Ago-1972,22,15,22,18,15,,,,,,S,2
31-Ago-1972,14,11,13,14,13,,,,,,S,4
Día/mes/año,TemperaturaMax (°c),TemperaturaMin (°c),Temperatura BulboSeco (°c),Temperatura BulboHumedo (°c),Precipitacion (mm),DirecciondelViento 13h,VelocidaddelViento 13h (m/s)
07,13,19,07,13,19,07,19
01-Sep-1972,21,12,12,20,19,,,,,,N,3
02-Sep-1972,25,16,17,23,21,,,,,,N,2
03-Sep-1972,30,13,14,28,25,,,,,,N,4
04-Sep-1972,35,16,16,32,30,,,,,,N,4
05-Sep-1972,34,18,18,33,30,,,,,,N,3
